Text,Class
"Hariri killing hits Beirut shares  Shares in Solidere, the Lebanese company founded by assassinated former prime minister Rafik Hariri, fell 15% in renewed trading in Beirut.  The real estate firm, which dominates Lebanon's stock exchange, ended the day down at $8.08. Traders said there was some panic selling during Friday's session, the first since a three-day market closure to mourn the death of Mr Hariri. Beirut's benchmark BLOM stock index closed down 7.9% at 642.80.  Solidere, in which Mr Hariri was a major shareholder, was the major drag on the index. The company owns much of the property in central Beirut, which it restored and redeveloped following the end of Lebanon's bitter 15-year civil war. ""Solidere should be above $10 but because of this disaster it is falling,"" said one trader. ""If Solidere drops much lower I would consider it a buying opportunity. This is a very big company held by many Lebanese."" Critics had accused Mr Hariri of using Lebanon's post-war reconstruction drive for his personal financial gain. But his assassination on Monday sent shudders through Lebanon's business community, which saw the billionaire tycoon as the country's best hope for economic revival. Solidere posted profits of $12.5m in the first half of 2004, and its shares had been gaining in recent months. ",business
"Asian banks halt dollar's slide  The dollar regained some lost ground against most major currencies on Wednesday after South Korea and Japan denied they were planning a sell-off.  The dollar suffered its biggest one-day fall in four months on Tuesday on fears that Asian central banks were about to lower their reserves of dollars. Japan is the biggest holder of dollar reserves in the world, with South Korea the fourth largest. The dollar was buying 104.76 yen at 0950 GMT, 0.5% stronger on the day. It also edged higher against both the euro and the pound, with one euro worth $1.3218, and one pound buying $1.9094. Concerns over rising oil prices and the outlook for the dollar pushed down US stock markets on Tuesday; the Dow Jones industrial average closed down 1.6%, while the Nasdaq lost 1.3%.  The dollar's latest slide began after a South Korean parliamentary report suggested the country, which has about $200bn in foreign reserves, had plans to boost holdings of currencies such as the Australian and Canadian dollar. On Wednesday, however, South Korea moved to steady the financial markets. It issued a statement that ""The Bank of Korea will not change the portfolio of currencies in its reserves due to short term market factors"". Japan, too, steadied nerves. A senior Japanese Finance Ministry official told Reuters ""we have no plans to change the composition of currency holdings in the foreign reserves, and we are not thinking about expanding our euro holdings"". Japan has $850bn in foreign exchange reserves. At the start of the year, the US currency, which had lost 7% against the euro in the final three months of 2004 and had fallen to record lows, staged something of a recovery. Analysts, however, pointed to the dollar's inability recently to extend that rally despite positive economic and corporate data, and highlighted the fact that many of the US's economic problems had not disappeared. The focus has been on the country's massive trade and budget deficits, and analysts have predicted more dollar weakness to come. ",business
"Housewives lift Channel 4 ratings  The debut of US television hit Desperate Housewives has helped lift Channel 4's January audience share by 12% compared to last year.  Other successes such as Celebrity Big Brother and The Simpsons have enabled the broadcaster to surpass BBC2 for the first month since last July. However the channel's share of the audience fell from 11.2% to 9.6% last month in comparison with January 2004. Celebrity Big Brother attracted less viewers than its 2002 series.  Comedy drama Desperate Housewives managed to pull in five million viewers at one point during its run to date, attracting a quarter of the television audience. The two main television channels, BBC1 and ITV1, have both seen their monthly audience share decline in a year on year comparison for January, while Five's proportion remained the same at a slender 6.3%. Digital multi-channel TV is continuing to be the strongest area of growth, with the BBC reporting Freeview box ownership of five million, including one million sales in the last portion of 2004. Its share of the audience soared by 20% in January 2005 compared with last year, and currently stands at an average of 28.6%. ",entertainment
"Portable PlayStation ready to go  Sony's PlayStation Portable (PSP) will go on sale in Japan on 12 December.  The long-awaited handheld game playing gadget will cost about 19,800 yen (145 euros) when it hits the shelves. At launch 21 games will be available for the PSP, including Need for Speed, Ridge Racer, Metal Gear Acid and Vampire Chronicle. Sony has not yet announced when the PSP will be available in Europe and the US, but analysts expect it to debut in those territories in early 2005.  Fifa 2005 is back at the top of the UK games charts, a week after losing it to rival Pro Evolution Soccer 4. Konami's Pro Evo dropped only one place to two, while the only new entry in the top 10 was another football title, LMA Manager 2005, in at number seven. Tony Hawk's Underground 2 held its own at three, while Star Wars Battlefront inched up to four places to four. There was good news for Disney, with the spin-off from the Shark's Tale film moving up the charts into number eight.  Fans of the Gran Turismo series in Europe are going to have to wait until next year for the latest version. Sony has said that the PAL version of GT4 will not be ready for Christmas. ""The product is localised into 13 different languages across the PAL territories, therefore the process takes considerably longer than it does in Japan,"" it said. Gran Turismo 4 for the PlayStation 2 is still expected to be released in Japan and the USA this year.  Halo 2 has broken video game records, with pre-orders of more than 1.5 million in the US alone. Some 6,500 US stores plan to open just after midnight on Tuesday 9 November for the game's release. ""Halo 2 is projected to bring in more revenue than any day one box office blockbuster movie in the United States,"" said Xbox's Peter Moore. ""We've even heard rumours of fan anticipation of the 'Halo 2 flu' on 9 November."" ",tech
"Georgia plans hidden asset pardon  Georgia is offering a one-off 'tax amnesty' to people who hid their earnings under the regime of former president Eduard Shevardnadze.  The country's new president, Mikhail Saakashvili, has said that anyone now willing to disclose their wealth will only have to pay 1% in income tax. The measure is designed to legitimise previously hidden economic activity and boost Georgia's flagging economy. Georgia's black market is estimated to be twice the size of its legal economy.  Mr Saakashvili, elected president in January after Mr Shevardnadze was toppled, has urged the Georgian Parliament to approve the amnesty as soon as possible. It is one of a series of proposals designed to tackle corruption, which was rampant during the Shevardnadze era, and boost Georgia's fragile public finances.  The new government is encouraging companies to pay taxes by scrapping existing corruption investigations and destroying all tax records from before 1 January, three days before President Saakashvili was elected. ""There are people who have money but are afraid to show it,"" the president told a government session. ""Documentation about where this money came from doesn't exist because under the former, entirely warped regime, earning capital honestly was not possible.""  By declaring their assets and paying the one-off tax, people would be able to ""legalise their property"", Mr Saakashvili stressed.  ""No one will have the right to check this money's origin. This money must go back into the economy."" The amnesty will not extend to people who made money through drugs trafficking or international money laundering. Criminal investigations in such cases -thought to involve about 5% of Georgian businesses -are to continue. Mr Saakashvili has accused the Shevardnadze regime, which was toppled by a popular uprising in November, of allowing bribery to flourish. Georgia's economy is in a desperate condition. Half the population are living below the poverty line with many surviving on income of less than $4, or three euros, a day. The unemployment rate is around 20% while the country has a $1.7bn public debt. ",business
"German music in a 'zombie' state  The German music business - the third largest in the world - is ""in the state of a zombie"" because it has failed to respond to the challenge posed by downloading and piracy, a leading industry figure has said.  Tim Renner, the head of Universal Music Germany until last year, told BBC World Service's The Music Biz programme that the country's music industry was now struggling to survive. Renner warned that unless the industry accepted ""new realties"" - such as downloading - its decline could become irreversible. ""The problem the music industry has got is that they aren't willing to accept that the classic way of doing business is over and out,"" he stated. ""So the music industry in its current form over here is pretty much in the state of a zombie.""  The music market in Germany peaked in 1997, with sales of 2.6bn euros (£1.8bn). Since 2000, sales have plummeted to just 1.6bn euros (£1.1bn) in 2003. In the space of one year - between 2002 and 2003 - CD album sales fell by 13.8%. But a study by the Society for Consumer Research found that at the same time, more than twice as many recordable CDs had music recorded on them than CD albums were sold. Mr Renner pointed out that, because profit comes mainly from the longevity of a good-selling record, this was particularly damaging.  ""You need time,"" he added. However, Peter Zombic, the managing director of the International Federation of Phonographic Industry in Germany, said he did not feel the situation was as ""dramatic"" as Mr Renner believed. ""It's quite true that we have severe problems in Germany - but that's true in other parts of the world and in most developed markets too,"" he argued. ""We have a severe problem with piracy, especially internet piracy, and we also have a severe problem of private copying. ""I don't agree that the music industry lost control over the music market - in fact, especially in regard to Germany talent, the market is quite successful."" He did, however, admit that copyright owners have ""partly lost control of their copyright"", due to piracy and copying.  But he refuted suggestions that the industry had been too slow to respond to digital downloading. ""We were the first to implement a download service - back in 1997,"" he argued. ""At that time it was not successful, because of the advent of piracy - it was the Napster time, when P2P services became popular. ""It still is quite difficult for the music industry to compete with a price that is zero as far as the illegal product is concerned."" Mr Zombic also called for a change to the perception in Germany that private copying of music is not a problem. German law does allow people to make copies of CDs for their family and close friends, without fear of breaking copyright. Mr Zombic said that this legal framework was a ""huge problem"". ""There is a widespread attitude that private copying is a hobby, it's nice, it's fun,"" he added. ""We try to make clear it's not nice and it's not fun - it's endangering the creativity in our country."" ",entertainment
"Dent continues Adelaide progress  American Taylor Dent reached the final of the Australian hardcourt event in Adelaide with a crushing 6-1 6-1 win over Argentine Juan Ignacio Chela.  Dent will meet Swede Joachim Johansson on Sunday after the second seed survived a tense tie-break to defeat Belgium's Olivier Rochus 6-1 7-6 (7/5). Johansson, the boyfriend of Lleyton Hewitt's sister Jaslyn, received strong crowd support on Saturday. ""It feels like home for me, because Jaslyn lives here,"" said Johansson. Rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away. ""It was so close - one mistake like this and the match is over, it's tough. For me, it was clearly out,"" Rochus said. ",sport
"Tory 'stalking horse' Meyer dies  Sir Anthony Meyer, the Tory backbencher who challenged Margaret Thatcher for the party leadership in 1989, has died.  He was 84, had been suffering from cancer for many months, and died at his London home. That failed ""stalking horse"" leadership challenge made it easier for Michael Heseltine to mount his own bid. That in turn paved the way for John Major to move into 10 Downing Street, after the second ballot. Meyer's constituency party, Clwyd North West, which he had represented as an MP for more than 20 years, deselected him as a result of that challenge. Sir Anthony John Charles Meyer was born on 27 October, 1920. Educated at Eton, and at New College, Oxford, he served in the Scots Guards from 1941 to 1945 and was wounded in tanks in Normandy. He worked under Edward Heath on Europe at the Foreign Office and subsequently won the Eton and Slough seat for the Tories in 1964 - by 11 votes. Labour regained the seat two years later, and Meyer had to wait until 1970 before he could re-enter Parliament. His prospects of a front bench slot remained remote because he tended to defy the party line. ",politics
"Nadal marches on in Mexico  Rafael Nadal continued his run of fine form to beat Guillermo Canas and reach the Mexican Open semis in Acapulco.  Eighth seed Nadal, who picked up his second ATP title when he beat Alberto Martin in last week's Brazil Open, saw off the Argentine third seed 7-5 6-3. He now meets Argentine wild card Mariano Puerta, who followed up his win over top seed Carlos Moya by overcoming Spain's Felix Mantilla, 6-4 3-6 7-6. Czech fifth seed Czech Jiri Novak was eliminated 7-5 6-1 by Agustin Calleri. The unseeded Argentine, who won the tournament two years ago, now plays Spain's Albert Montanes. Montanes advanced to his first semi-final of the year with a 4-6 6-3 6-4 triumph over sixth-seeded Italian Filippo Volandri. Argentina's Agustin Calleri beat fourth seed Jiri Novak 7-5 6-1 in a battle of former champions at the Mexican Open. Calleri won his only ATP title in Acapulco two years ago while Novak won the singles and doubles titles in 1998. Calleri will face Albert Montanes in the semi-finals after the Spaniard ousted sixth seed Filippo Volandri of Italy 4-6 6-3 6-4. Argentine wild card Mariano Puerta continued his improbable run, outlasting Felix Mantilla 6-4 3-6 7-6. ",sport
"Fannie Mae 'should restate books'  US mortgage company Fannie Mae should restate its earnings, a move that is likely to put a billion-dollar dent in its accounts, watchdogs have said.  The Securities & Exchange Commission accused Fannie Mae of using techniques that ""did not comply in material respects"" with accounting standards. Fannie Mae last month warned that some records were incorrect. The other main US mortgage firm Freddie Mac restated earnings by $5bn (£2.6bn) last year after a probe of its books. The SEC's comments are likely to increase pressure on Congress to strengthen supervision of Fannie Mae and Freddie Mac.  The two firms are key parts of the US financial system and effectively underwrite the mortgage market, financing nearly half of all American house purchases and dealing actively in bonds and other financial instruments. The investigation of Freddie Mac in June 2003 sparked concerns about the wider health of the industry and raised questionsmarks over the role of the Office of Federal Housing Enterprise Oversight (OFHEO), the industry's main regulator. Having been pricked into action, the OFHEO turned its attention to Fannie May and in September this year said that the firm had tweaked its books to spread earnings more smoothly across quarters and play down the amount of risk it had taken on. The SEC found similar problems. The watchdog's chief accountant Donald Nicolaisen said that ""Fannie Mae's methodology of assessing, measuring and documenting hedge ineffectiveness was inadequate and was not supported"" by generally accepted accounting principles. ",business
